TimeStamp,TravelTime,MAC
1683155254,221,4e:f6:62:3d:50:8a
1683155274,242,69:95:f1:34:5f:29
1683155280,229,22:c7:ac:81:dd:8e
1683155279,228,6a:0d:20:f3:79:56
1683155294,251,50:e6:71:8f:a8:a5
1683155294,251,11:8f:d2:97:0f:b8
1683155380,311,4e:51:fa:02:eb:03
1683155360,273,3c:37:60:62:00:38
1683155360,274,46:ad:b6:f5:5c:c2
1683155361,274,20:dd:bd:8f:80:8c
1683155381,313,70:d3:85:bd:76:b5
1683155377,896,34:81:f4:c8:6f:7d
1683155412,254,31:e8:50:af:47:a4
1683155381,315,29:fb:71:a7:03:d2
1683155412,285,55:d8:f0:1e:d0:18
1683155409,230,68:bb:36:10:fb:be
1683155383,221,7b:56:f3:3f:bb:00
1683155383,221,24:79:88:89:96:f0
1683155389,302,51:49:32:3f:3b:9d
1683155388,303,2e:6e:d0:c9:24:b8
1683155402,223,64:40:02:92:de:4b
1683155404,247,b4:10:7b:d5:8f:9f
1683155406,244,55:65:75:4b:74:ab
1683155409,230,2a:22:07:3d:c0:ad
1683155407,229,61:94:47:18:f2:df
1683155409,231,60:11:85:2e:f2:14
1683155414,235,0e:f5:f9:8f:3e:8a
1683155410,282,00:25:ca:6c:a6:9a
1683155437,299,90:f1:57:5a:16:35
1683155413,278,32:c6:91:80:bd:7a
1683155413,278,7f:2b:92:63:1c:e3
1683155441,294,3c:68:16:04:f7:e5
1683155467,221,77:c5:33:5a:04:f0
1683155458,287,00:1f:ff:34:8b:a0
1683155463,270,f0:99:19:c6:f8:88
1683155499,288,4e:46:0a:3c:81:0b
1683155469,306,3c:3e:55:45:2a:0b
1683155469,303,c2:db:72:d8:ef:79
1683155469,305,c1:74:41:67:4b:e5
1683155469,303,6d:5b:a9:42:fc:6d
1683155473,233,62:67:7c:be:78:85
1683155512,239,49:18:e5:d8:89:02
1683155511,238,47:5e:3a:cb:bd:b8
1683155523,253,1a:68:00:6b:fe:d3
1683155529,259,7c:aa:b4:57:15:57
1683155518,259,71:12:72:f7:bd:fb
1683155522,253,c4:c3:6b:4e:2c:d3
1683155523,253,4b:e2:02:bf:76:5c
1683155531,297,00:05:4f:fc:3e:ae
1683155531,297,f1:2f:d4:d1:83:1d
1683155541,258,74:d7:ca:50:78:18
1683155545,296,5d:62:ac:30:65:b4
1683155557,310,39:33:91:64:53:dc
1683155556,309,59:bf:56:21:84:aa
1683155540,278,51:2d:91:2a:d2:97
